run_id,proximity_weight,sparsity_weight,diversity_weight,l0_penalty_weight,ordering_penalty,proximity,sparsity,diversity_mean_pairwise_l1,diversity_stddev
1,0.1,0.1,0,0,1,924.684704636129,928.0,1.6610844418764603,1.1038984182259657
2,0.1,0.1,0,0,10,922.4485812843028,928.0,2.267912872130798,1.100487772390285
3,0.1,0.1,0,0,100,621.3035671780842,927.8,228.3300834776269,37.37194108588735
4,0.1,0.1,0,1,1,622.1738024851632,927.7,229.8425386073457,38.12429935681445
5,0.1,0.1,0,1,10,921.2928137646808,928.0,2.5272552943420457,1.584001200522676
6,0.1,0.1,0,1,100,923.3945666186394,928.0,2.250627793187431,1.3528513071927972
7,0.1,0.1,0,10,1,921.3443494630998,928.0,2.892001611440276,1.7047246131760616
8,0.1,0.1,0,10,10,669.2421028046604,927.9,201.0327653598592,58.62551193977383
9,0.1,0.1,0,10,100,923.2029756854714,928.0,2.5670777499217774,1.399366296897718
10,0.1,0.1,0,100,1,653.6909594081357,927.8,220.98420566601288,29.584458478363864
11,0.1,0.1,0,100,10,920.8069658903564,928.0,2.847860396474075,1.152536690910237
12,0.1,0.1,0,100,100,920.8406796841156,928.0,2.333303829144145,1.156615579629135
13,0.1,0.1,1,0,1,916.1246868901752,928.0,4.39331180494654,2.148874756578025
14,0.1,0.1,1,0,10,646.2160857839473,927.9,213.6857803928914,41.19901711259968
15,0.1,0.1,1,0,100,923.579195003284,928.0,1.711288508547109,1.355812616012248
16,0.1,0.1,1,1,1,924.283009989738,928.0,1.5576150888437323,1.1099614422359625
17,0.1,0.1,1,1,10,920.2228493221168,928.0,2.689401700826828,1.51708352007055
18,0.1,0.1,1,1,100,923.3043748060196,928.0,2.491783637324468,1.7144319760823326
19,0.1,0.1,1,10,1,925.7003208084554,928.0,1.2390583964810673,0.6874565291557219
20,0.1,0.1,1,10,10,627.3280005924801,927.8,232.35618773358297,33.0970349412685
21,0.1,0.1,1,10,100,918.9060527780772,928.0,3.1236330270777484,2.239231608175168
22,0.1,0.1,1,100,1,925.3631547105942,928.0,1.4340317219418772,0.8192139816277338
23,0.1,0.1,1,100,10,922.9623074362356,928.0,1.8472626280806383,1.1094921037558132
24,0.1,0.1,1,100,100,923.6287631262549,928.0,1.7808662707346523,0.7525696786357461
25,0.1,0.1,5,0,1,918.7381741354864,928.0,3.459324559144459,1.7530167832414087
26,0.1,0.1,5,0,10,921.1547198000666,928.0,4.211173732456599,1.5503635971432832
27,0.1,0.1,5,0,100,920.44813056946,928.0,3.177897509004568,1.4594299774410588
28,0.1,0.1,5,1,1,923.4094861620654,928.0,2.20630923539214,1.177657305493056
29,0.1,0.1,5,1,10,632.162787967854,928.0,215.4957345371736,41.0300167998043
30,0.1,0.1,5,1,100,648.5570928371773,927.7,214.07811416370484,39.90872689469864
31,0.1,0.1,5,10,1,920.5765218903504,928.0,2.6150033926192835,1.2471830398855313
32,0.1,0.1,5,10,10,922.4339049447924,928.0,2.792028024742599,1.592132519014316
33,0.1,0.1,5,10,100,665.6534948414406,927.6,211.0625267718759,47.51763568849247
34,0.1,0.1,5,100,1,653.584335893613,927.8,193.6511122652624,41.164216249003296
35,0.1,0.1,5,100,10,922.435857432169,928.0,2.1668532658717536,1.0047477209210691
36,0.1,0.1,5,100,100,621.8584484152145,927.7,222.02524339660016,31.576560083572776
37,0.1,0.1,10,0,1,920.9346213565452,928.0,3.3777193544405804,1.2021491623507432
38,0.1,0.1,10,0,10,614.9767122729044,927.9,229.1686082848259,42.11846415626376
39,0.1,0.1,10,0,100,917.412802774005,928.0,4.604075504113682,1.3507021289672794
40,0.1,0.1,10,1,1,921.7419590440264,928.0,1.9975432190893765,1.0790545818352548
41,0.1,0.1,10,1,10,922.883943834804,928.0,2.9736414460146414,1.0002764849328782
42,0.1,0.1,10,1,100,924.2686959716788,928.0,1.9777777777777776,0.9542626912703952
43,0.1,0.1,10,10,1,920.690509400824,928.0,2.3993124198979463,1.3585098420411632
44,0.1,0.1,10,10,10,918.8070202863594,928.0,4.527029086318214,1.99149806854446
45,0.1,0.1,10,10,100,921.9137104024956,928.0,2.7938411274143724,1.0936810895746023
46,0.1,0.1,10,100,1,647.9652548619972,927.3,203.43484429970272,38.09104779052336
47,0.1,0.1,10,100,10,920.4447390041528,928.0,3.0739030323656467,1.593123280827166
48,0.1,0.1,10,100,100,622.0780926576952,926.8,230.0941519060524,34.44132220969603
49,0.1,1.0,0,0,1,923.1073778218268,928.0,2.5446486559447563,1.0669282465174144
50,0.1,1.0,0,0,10,921.7260427323984,928.0,3.110109351444255,1.204981087490164
51,0.1,1.0,0,0,100,920.051472999244,928.0,4.742867470167975,1.4994674199569011
52,0.1,1.0,0,1,1,923.0028271015572,928.0,2.7701337043974514,1.1007045659521044
53,0.1,1.0,0,1,10,637.8249540464825,927.8,223.3303179132873,34.803128078944454
54,0.1,1.0,0,1,100,625.663332572183,928.0,239.25736456012035,34.38074781696314
55,0.1,1.0,0,10,1,917.1064556404176,928.0,6.1202756936780185,1.7272936272408714
56,0.1,1.0,0,10,10,920.9160883747014,928.0,3.1006315304091903,1.604057877678522
57,0.1,1.0,0,10,100,921.2927683049536,928.0,2.91364116111419,1.7172351025616035
58,0.1,1.0,0,100,1,654.6603790832526,927.4,216.6821660236291,46.68620244731741
59,0.1,1.0,0,100,10,923.1104937237758,928.0,1.8280856053943129,0.6401951933043148
60,0.1,1.0,0,100,100,618.3768243012494,927.6,231.3535491105783,37.120519158164754
61,0.1,1.0,1,0,1,923.9568149813092,928.0,1.735811583102472,0.6549007648812676
62,0.1,1.0,1,0,10,620.6554059282064,927.8,230.1195929080008,32.4587175477172
63,0.1,1.0,1,0,100,924.3337820064692,928.0,2.298990347953705,0.945643756679712
64,0.1,1.0,1,1,1,921.2804167630976,928.0,2.55437481251806,1.3354125137019632
65,0.1,1.0,1,1,10,643.4764553184871,928.0,218.02852610531804,32.83663968358081
66,0.1,1.0,1,1,100,920.1020334815472,928.0,3.176794660956382,1.3504587013885714
67,0.1,1.0,1,10,1,924.961469661748,928.0,2.051908711279701,0.7991763208865772
68,0.1,1.0,1,10,10,652.3543107683494,928.0,221.6519994760324,39.412671154019385
69,0.1,1.0,1,10,100,919.8876319225894,928.0,4.4,1.5549205052920805
70,0.1,1.0,1,100,1,623.9492658600604,927.7,227.2173004840376,32.91192150654446
71,0.1,1.0,1,100,10,919.719048340752,928.0,3.055564020634292,1.6395434581853254
72,0.1,1.0,1,100,100,618.567506616891,927.6,230.4424355678574,38.23293387467213
73,0.1,1.0,5,0,1,642.9980853252684,928.0,228.2724888245752,36.051282301443386
74,0.1,1.0,5,0,10,635.7797596880183,927.8,224.6497442741312,33.58942006181622
75,0.1,1.0,5,0,100,634.3441883595376,927.1,229.19127756976144,39.1059046171715
76,0.1,1.0,5,1,1,922.330926279759,928.0,2.8564032248440543,1.2609429882302663
77,0.1,1.0,5,1,10,653.8383995662459,928.0,222.31889789075467,34.38565545277411
78,0.1,1.0,5,1,100,921.2565054509054,928.0,2.7790348715039537,1.824490588829225
79,0.1,1.0,5,10,1,671.1805710034757,927.4,211.985831946036,47.22910177437746
80,0.1,1.0,5,10,10,923.2981680627714,928.0,2.866333833083064,1.3940008459165412
81,0.1,1.0,5,10,100,922.677544173112,928.0,1.714805563138978,1.0092665019746794
82,0.1,1.0,5,100,1,922.8854560582664,928.0,2.119963807027791,1.010808164782125
83,0.1,1.0,5,100,10,919.8526429916652,928.0,3.3141407600948094,1.5075335666828298
84,0.1,1.0,5,100,100,919.718207780195,928.0,3.622865048761268,1.2818519845528316
85,0.1,1.0,10,0,1,923.6524054016776,928.0,2.525527223991136,1.1703969711636653
86,0.1,1.0,10,0,10,922.1017299809944,928.0,2.8561895280052965,1.7079827727836558
87,0.1,1.0,10,0,100,923.401205474391,928.0,2.0382624846025923,0.9808088007653836
88,0.1,1.0,10,1,1,920.8338741100156,928.0,3.449026765270981,2.5269711783525985
89,0.1,1.0,10,1,10,923.9229778053468,928.0,1.855360760402038,0.8888094872124039
90,0.1,1.0,10,1,100,920.8176093755268,928.0,2.525846462170656,1.175981627563981
91,0.1,1.0,10,10,1,918.5297683141188,928.0,4.348751942959572,1.9106340665688832
92,0.1,1.0,10,10,10,922.521005301344,928.0,2.3885136472762034,1.1029340248912505
93,0.1,1.0,10,10,100,629.6416172708755,927.5,220.33996381803,43.94729001888827
94,0.1,1.0,10,100,1,664.2192755716379,927.6,194.76485716278657,52.195661891008754
95,0.1,1.0,10,100,10,921.4195271451464,928.0,2.867164827049834,1.445893393655692
96,0.1,1.0,10,100,100,920.5394749215008,928.0,3.533333333333333,1.6275407487644935
97,0.1,10.0,0,0,1,925.5131748608746,928.0,1.7251712397736678,1.1006177477598469
98,0.1,10.0,0,0,10,919.7038069388036,928.0,3.233924725927119,1.6820838801704951
99,0.1,10.0,0,0,100,922.298261831142,928.0,2.3036477350571354,0.7816091155076028
100,0.1,10.0,0,1,1,920.6940398811556,928.0,3.618353041537703,1.2838597830623149
101,0.1,10.0,0,1,10,674.8820620982749,927.9,212.11889164184484,53.85288307152455
102,0.1,10.0,0,1,100,637.2715392925705,927.1,222.3718833301036,43.54712840635991
103,0.1,10.0,0,10,1,923.3869927937868,928.0,2.0831706643616963,0.950659211675243
104,0.1,10.0,0,10,10,631.9906249916196,927.8,234.71768237909427,39.93323291143237
105,0.1,10.0,0,10,100,631.7701448739683,927.6,229.525971529791,34.46333565097998
106,0.1,10.0,0,100,1,637.7194768664594,927.9,228.4324138260229,42.24726240881086
107,0.1,10.0,0,100,10,920.8548013757484,928.0,2.5578809553410338,1.3588849952053674
108,0.1,10.0,0,100,100,925.1588927232036,928.0,2.1333333333333333,0.9994644062624084
109,0.1,10.0,1,0,1,923.3120763417646,928.0,1.7033999535571496,0.952101742576252
110,0.1,10.0,1,0,10,918.4447006448833,928.0,4.593521700468925,1.450795942890044
111,0.1,10.0,1,0,100,918.4936632122711,928.0,3.6828718135748777,1.2797678585671888
112,0.1,10.0,1,1,1,923.6394306243948,928.0,1.9446369340726035,0.9014604679521612
113,0.1,10.0,1,1,10,919.0655518516102,928.0,4.836013480379393,1.7520151234047534
114,0.1,10.0,1,1,100,923.0065312354554,928.0,2.034359352738064,1.0857733457933414
115,0.1,10.0,1,10,1,653.4421386291955,927.6,217.8384506428795,39.46851645211082
116,0.1,10.0,1,10,10,619.3386574594131,927.6,228.1126998150524,37.81634813980912
117,0.1,10.0,1,10,100,923.545246391366,928.0,2.688159035238612,1.0474737014939768
118,0.1,10.0,1,100,1,923.0169049141934,928.0,2.825114037032648,1.2134024896752096
119,0.1,10.0,1,100,10,923.1284400647428,928.0,1.805404868171645,0.8990702546133003
120,0.1,10.0,1,100,100,924.0093384979472,928.0,1.728423152903139,0.9771819873841272
121,0.1,10.0,5,0,1,652.4652788677926,928.0,206.1493886381554,56.89098232937995
122,0.1,10.0,5,0,10,922.4590361573516,928.0,1.9661421624391409,0.7578258291537123
123,0.1,10.0,5,0,100,921.4175377620428,928.0,2.459431014614664,1.2220558356279072
124,0.1,10.0,5,1,1,923.766072715742,928.0,2.152820010063267,0.9568204982596664
125,0.1,10.0,5,1,10,922.2144541202354,928.0,2.3913337858552093,1.1721284888429346
126,0.1,10.0,5,1,100,917.5658123433462,928.0,3.77638022704021,2.135488450136926
127,0.1,10.0,5,10,1,922.667091213644,928.0,2.4963834069946294,1.107650250971365
128,0.1,10.0,5,10,10,651.7932486843544,927.9,222.5137830407672,39.419760456371016
129,0.1,10.0,5,10,100,596.3293636567348,927.8,244.126023652297,43.14976661025411
130,0.1,10.0,5,100,1,647.0207583358538,927.7,216.08521896297816,45.49580915925209
131,0.1,10.0,5,100,10,923.2786755764264,928.0,2.1582088070835543,1.0478814531339655
132,0.1,10.0,5,100,100,923.6868160165252,928.0,2.2213983827363504,0.8637691466943083
133,0.1,10.0,10,0,1,644.345498971917,928.0,222.8836015976761,45.82278567541965
134,0.1,10.0,10,0,10,923.67175663381,928.0,2.51929912203072,1.2886228027650226
135,0.1,10.0,10,0,100,924.0326735238924,928.0,1.5275321865699405,0.7462049066432512
136,0.1,10.0,10,1,1,921.2165476394936,928.0,4.188512666846915,1.6770808800805366
137,0.1,10.0,10,1,10,920.965721218218,928.0,3.4263703036056734,1.2479902780654453
138,0.1,10.0,10,1,100,642.7328914567657,927.7,207.58514379385448,38.67947435462221
139,0.1,10.0,10,10,1,622.6800940318652,927.9,229.45024984251208,39.798627325279206
140,0.1,10.0,10,10,10,922.294980321771,928.0,2.209101503186916,0.9959039810520126
141,0.1,10.0,10,10,100,919.3894452441727,928.0,3.917038019908196,1.423181340457179
142,0.1,10.0,10,100,1,918.1856671891989,928.0,5.004312897235625,1.779256305042222
143,0.1,10.0,10,100,10,673.0071870609925,927.8,208.42752696062703,36.40314454873495
144,0.1,10.0,10,100,100,923.3848394608892,928.0,2.6605576755431857,1.2996064073062492
145,0.1,100.0,0,0,1,923.2661361896476,928.0,1.7418418001118867,0.8543822563298937
146,0.1,100.0,0,0,10,920.9979535216676,928.0,2.9692678083807915,1.2602715240104412
147,0.1,100.0,0,0,100,918.8490250530342,928.0,3.815847172940505,1.2961016274126933
148,0.1,100.0,0,1,1,922.1510046962328,928.0,2.3638482939960297,0.9269834135663612
149,0.1,100.0,0,1,10,922.9222859249276,928.0,2.8732802051845736,1.1480246683509918
150,0.1,100.0,0,1,100,921.4926238460482,928.0,2.582026909222964,1.8181150498795
151,0.1,100.0,0,10,1,917.087445683914,927.9,5.833455541778656,1.9448213842277573
152,0.1,100.0,0,10,10,919.590192012303,928.0,3.4547688544990107,1.839229408276846
153,0.1,100.0,0,10,100,923.2006160740726,928.0,2.6968705984092014,1.4704816572691255
154,0.1,100.0,0,100,1,920.9986013671418,928.0,2.3979564764192225,1.5179438264552914
155,0.1,100.0,0,100,10,922.202364925119,928.0,3.0879452617597845,1.7662254576188825
156,0.1,100.0,0,100,100,919.351682219232,928.0,3.5622147687879444,1.542464254363857
157,0.1,100.0,1,0,1,918.1458064785154,928.0,3.804945976139366,1.669412354422844
158,0.1,100.0,1,0,10,921.131091665078,928.0,3.336340283003888,1.4730408668269983
159,0.1,100.0,1,0,100,634.7079954254353,927.6,219.58815820379616,44.832550804708376
160,0.1,100.0,1,1,1,923.1859065184442,928.0,2.373074709122734,0.9548370168660184
161,0.1,100.0,1,1,10,923.7603330244938,928.0,1.7678616542901804,1.3499021003431446
162,0.1,100.0,1,1,100,923.5900309163916,928.0,2.311111111111111,0.8385761006272536
163,0.1,100.0,1,10,1,618.3616915009668,926.6,226.50482238836432,27.317060211258124
164,0.1,100.0,1,10,10,923.4187634661356,928.0,2.0407119809061336,0.9302803756378374
165,0.1,100.0,1,10,100,635.1399053458551,926.9,222.24732287308203,30.35215459514617
166,0.1,100.0,1,100,1,921.630094542255,928.0,2.7268136534587137,1.6278041751174934
167,0.1,100.0,1,100,10,917.7182446792652,928.0,3.5416241036512,1.084129182700902
168,0.1,100.0,1,100,100,923.7816831178958,928.0,2.578458106299706,1.2106724103877242
169,0.1,100.0,5,0,1,622.6587645215701,927.8,235.7146037518349,37.09244901186691
170,0.1,100.0,5,0,10,645.9208388008285,927.5,224.87209570772592,39.10338138596501
171,0.1,100.0,5,0,100,637.4547280809071,927.7,221.31851063996007,42.28710548847239
172,0.1,100.0,5,1,1,919.3273956290236,928.0,4.564115262338024,1.833519300771287
173,0.1,100.0,5,1,10,925.1374572361776,928.0,2.015555686869031,0.8836148344292813
174,0.1,100.0,5,1,100,922.6938183630552,928.0,2.0155285892018786,1.1459335809863236
175,0.1,100.0,5,10,1,920.0824068130662,928.0,3.681907784517733,1.4116969157841972
176,0.1,100.0,5,10,10,920.60400142066,928.0,3.774657144230677,1.6030073174795092
177,0.1,100.0,5,10,100,649.3038352998071,927.6,204.4463965176302,45.92268915237271
178,0.1,100.0,5,100,1,925.6544613070812,928.0,1.1274715201195755,0.7476988964396576
179,0.1,100.0,5,100,10,607.1494227471894,927.8,238.59354093821523,39.71539878438828
180,0.1,100.0,5,100,100,919.7134134663604,928.0,3.7792025188290617,1.3030000958337191
181,0.1,100.0,10,0,1,613.9668077407737,927.7,228.7014778460204,35.60880832791108
182,0.1,100.0,10,0,10,637.7611370489255,927.9,223.8362534587088,41.18841978747624
183,0.1,100.0,10,0,100,651.8827687686417,927.8,207.85911287866023,45.18850610536033
184,0.1,100.0,10,1,1,924.061552164922,928.0,1.6017795876354073,1.0463608806386309
185,0.1,100.0,10,1,10,911.3021527405336,928.0,8.754293545735663,2.494125287304304
186,0.1,100.0,10,1,100,918.3630819468126,928.0,5.4567308494029945,1.8017662705984847
187,0.1,100.0,10,10,1,919.8078555734804,928.0,3.022731377929613,1.28800945309012
188,0.1,100.0,10,10,10,600.4537274398713,926.1,234.29301731042065,40.842384712658045
189,0.1,100.0,10,10,100,627.9744882244911,927.5,228.79856923038403,40.63924910447668
190,0.1,100.0,10,100,1,652.2702887531119,927.8,211.9580970335604,51.78772466681002
191,0.1,100.0,10,100,10,922.5173945384096,928.0,2.555555555555556,1.1066577420434427
192,0.1,100.0,10,100,100,922.9070458998724,928.0,2.7111111111111112,1.2757955639473175
193,1.0,0.1,0,0,1,924.882230388292,928.0,2.0347893594593844,1.1343567634933058
194,1.0,0.1,0,0,10,916.502878480602,928.0,6.864863338541844,2.145473267766099
195,1.0,0.1,0,0,100,921.1349436135891,928.0,2.8076479918687447,1.5359090133819933
196,1.0,0.1,0,1,1,922.3432463352672,928.0,3.0121985454900715,1.1614385913690624
197,1.0,0.1,0,1,10,924.5589051249668,928.0,2.980903481515582,1.2285604852383765
198,1.0,0.1,0,1,100,632.3281196208509,928.0,222.0454865139164,37.10110544505829
199,1.0,0.1,0,10,1,918.8376318852564,928.0,3.79084439140433,1.6044551466110626
200,1.0,0.1,0,10,10,632.6238403338687,928.0,225.15128161958177,41.76234068352019
201,1.0,0.1,0,10,100,922.9222857743468,928.0,2.4124289582995884,0.9048115853776764
202,1.0,0.1,0,100,1,629.8065413350654,927.9,228.27690532345,35.697822508312235
203,1.0,0.1,0,100,10,916.9516562004094,928.0,5.913213052315905,2.3957014100919656
204,1.0,0.1,0,100,100,923.318964259784,928.0,2.3942246902272526,0.9017630752562176
205,1.0,0.1,1,0,1,922.1652445332312,928.0,2.1546377758144657,1.2826577847187122
206,1.0,0.1,1,0,10,653.8125093682169,927.4,214.7893635139241,34.48363445803587
207,1.0,0.1,1,0,100,626.9067424448413,927.5,223.28410897901583,40.71836637775562
208,1.0,0.1,1,1,1,919.323394919162,928.0,3.458258051750556,1.2448686763636507
209,1.0,0.1,1,1,10,626.5838696195221,927.5,231.96159161730267,36.1203566936768
210,1.0,0.1,1,1,100,638.4794087634539,927.9,226.92512014074487,34.596081949125
211,1.0,0.1,1,10,1,924.735382630852,928.0,1.5657075165412389,0.7961922539416877
212,1.0,0.1,1,10,10,643.8004903870141,927.9,226.260247303892,39.73287803570974
213,1.0,0.1,1,10,100,920.296761992884,928.0,2.977201728148887,1.245866880783672
214,1.0,0.1,1,100,1,923.2113564736268,928.0,2.1163489627068435,1.079209841661137
215,1.0,0.1,1,100,10,632.5721941083493,927.8,228.2034949550333,40.09244093809488
216,1.0,0.1,1,100,100,924.756623760542,928.0,1.7846604198469938,0.9099433427758188
217,1.0,0.1,5,0,1,919.7016977543016,928.0,4.552690676695764,1.7446269907107417
218,1.0,0.1,5,0,10,917.5286760300784,928.0,4.122103021675983,1.3260874706253312
219,1.0,0.1,5,0,100,635.8312989136984,927.6,224.2568380235352,21.49661733028692
220,1.0,0.1,5,1,1,923.2339860309884,928.0,2.049894799381598,1.1703811771407089
221,1.0,0.1,5,1,10,922.9765439666523,928.0,2.923231646194718,1.623479429984516
222,1.0,0.1,5,1,100,921.0871865395002,928.0,2.7870190618154016,1.028336256830866
